Risk,Curricular units 1st sem (grade),Curricular units 2nd sem (approved),Curricular units 1st sem (approved),Curricular units 2nd sem (evaluations),Curricular units 2nd sem (enrolled),Curricular units 1st sem (enrolled),Curricular units 1st sem (evaluations),Tuition fees up to date,Gender,Scholarship holder,Course,Risk
1,0.0,0,0,0,0,0,0,1,1,0,2,1
0,14.0,6,6,6,6,6,6,0,1,0,11,0
1,0.0,0,0,0,6,6,0,0,1,0,5,1
0,13.428571428571429,5,6,10,6,6,8,1,0,0,15,0
0,12.333333333333334,6,5,6,6,6,9,1,0,0,3,0
0,11.857142857142858,5,5,17,5,5,10,1,1,0,17,0
0,13.3,8,7,8,8,7,9,1,0,1,12,0
1,0.0,0,0,5,5,5,5,0,1,0,11,1
0,13.875,6,6,7,6,6,8,1,0,1,10,0
0,11.4,2,5,14,6,6,9,0,0,0,10,0
0,12.333333333333334,5,6,7,6,6,6,1,0,0,14,0
0,13.214285714285714,7,7,8,8,8,8,1,0,1,12,0
1,0.0,0,0,0,6,6,6,1,0,0,16,1
0,10.571428571428571,5,6,8,6,6,7,1,0,1,11,0
0,13.25,5,4,5,5,5,7,1,0,1,6,0
1,13.2,0,5,7,6,6,6,1,0,0,15,1
0,12.0,2,1,14,6,6,10,1,0,0,10,0
0,13.30625,8,7,8,8,7,8,1,0,0,12,0
0,12.5,4,4,8,5,5,8,1,0,0,8,0
0,11.666666666666666,6,6,8,7,7,7,1,0,0,16,0
1,0.0,0,0,0,0,0,0,1,0,1,2,1
0,11.4375,8,7,9,8,7,14,1,0,0,13,0
0,12.857142857142858,7,7,12,8,8,12,1,0,0,12,0
0,13.375,6,6,7,6,6,8,1,0,1,14,0
0,13.296666666666669,7,6,9,8,7,8,1,0,0,12,0
0,11.6,4,5,12,6,6,8,1,0,1,10,0
0,11.375,6,6,9,6,6,9,1,0,0,10,0
0,12.666666666666666,4,5,7,5,5,9,1,0,0,6,0
0,12.0,5,5,6,5,5,6,1,0,0,9,0
0,12.933333333333332,6,6,7,7,7,9,1,1,0,12,0
0,11.857142857142858,5,5,17,6,6,15,1,1,0,4,0
0,12.833333333333334,4,6,9,6,6,7,1,1,0,5,0
